VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,date,DATE,PRCP,TMIN,TMAX
2,3/2/16 20:43,3/2/16 20:55,2,2.11,-73.98239899,40.77742386,1,-73.95596313,40.77713013,1,10.5,0.5,0.5,2.36,0,14.16,3/2/16,3/2/16 0:00,0.14,29,55
2,3/8/16 17:54,3/8/16 18:10,1,2.22,-74.00515747,40.74176025,1,-74.0045166,40.71960831,1,12,1,0.5,2.76,0,16.56,3/8/16,3/8/16 0:00,0,47,67
2,2/11/16 15:07,2/11/16 15:26,1,1.16,-73.97824097,40.73734283,1,-73.98965454,40.7477951,1,12,0,0.5,2.56,0,15.36,2/11/16,2/11/16 0:00,0,18,31
1,1/7/16 21:54,1/7/16 21:59,2,1,-73.98012543,40.78034973,1,-73.98412323,40.76991653,1,5.5,0.5,0.5,1.35,0,8.15,1/7/16,1/7/16 0:00,0,31,46
1,1/9/16 2:46,1/9/16 2:59,2,2.1,-74.00379181,40.73749924,1,-73.98553467,40.76322937,2,9.5,0.5,0.5,0,0,10.8,1/9/16,1/9/16 0:00,0,40,47
1,2/6/16 17:16,2/6/16 17:32,2,2,-73.99160004,40.75031662,1,-73.96890259,40.75516129,1,11,0,0.5,2.35,0,14.15,2/6/16,2/6/16 0:00,0,30,40
2,3/8/16 20:03,3/8/16 20:06,3,0.7,-73.98866272,40.75880051,1,-73.98183441,40.76760864,1,4.5,0.5,0.5,1.16,0,6.96,3/8/16,3/8/16 0:00,0,47,67
1,3/1/16 6:31,3/1/16 6:37,1,1.3,-73.9644928,40.77307129,1,-73.97507477,40.75551987,1,7,0,0.5,1,0,8.8,3/1/16,3/1/16 0:00,0,39,52
2,3/15/16 12:07,3/15/16 12:35,6,5.99,-73.98796082,40.76976013,1,-74.01319885,40.70230865,2,24,0,0.5,0,0,24.8,3/15/16,3/15/16 0:00,0,44,57
1,1/6/16 20:16,1/6/16 20:55,3,19.5,-73.77676392,40.64522171,2,-73.99539948,40.72875977,1,52,0,0.5,10.55,0,63.35,1/6/16,1/6/16 0:00,0,25,41
2,3/7/16 22:10,3/7/16 22:18,1,1.87,-73.96186829,40.77937317,1,-73.98579407,40.7754631,2,9,0.5,0.5,0,0,10.3,3/7/16,3/7/16 0:00,0,36,60
2,2/6/16 0:48,2/6/16 0:57,1,1.25,-73.98352814,40.72612,1,-74.00117493,40.73389053,1,7.5,0.5,0.5,1,0,9.8,2/6/16,2/6/16 0:00,0,30,40
2,2/3/16 6:29,2/3/16 6:38,1,1.67,-73.98925781,40.75550842,1,-73.9850235,40.74231339,1,8,0,0.5,1.76,0,10.56,2/3/16,2/3/16 0:00,0.73,42,59
2,2/1/16 18:40,2/1/16 18:51,5,1.38,-73.9701004,40.7646637,1,-73.96489716,40.75421524,1,8.5,1,0.5,1.5,0,11.8,2/1/16,2/1/16 0:00,0.01,44,59
1,2/5/16 18:03,2/5/16 18:08,1,0.9,-73.98894501,40.75305939,1,-73.97681427,40.74747467,1,5.5,1,0.5,1.45,0,8.75,2/5/16,2/5/16 0:00,0.53,31,44
1,1/4/16 15:43,1/4/16 15:48,1,0.5,-73.94949341,40.77672958,1,-73.94628143,40.77290726,1,5,0,0.5,1.15,0,6.95,1/4/16,1/4/16 0:00,0,14,36
